wnid,mean_drift,spillover_rate,n_par,model
n01440764,0.22916054725646973,0.05,40,resnet101
n01443537,0.3549537658691406,0.2,40,resnet101
n01484850,0.24281778931617737,0.4,40,resnet101
n01491361,0.18975569307804108,0.2,40,resnet101
n01494475,0.26916223764419556,0.0,40,resnet101
n01496331,0.30807629227638245,0.275,40,resnet101
n01498041,0.2676258683204651,0.3,40,resnet101
n01514668,0.22827264666557312,0.1,40,resnet101
n01514859,0.2886952757835388,0.175,40,resnet101
n01518878,0.26044777035713196,0.15,40,resnet101
n01530575,0.23532839119434357,0.15,40,resnet101
n01531178,0.21773786842823029,0.05,40,resnet101
n01532829,0.2608417570590973,0.25,40,resnet101
n01534433,0.18490269780158997,0.075,40,resnet101
n01537544,0.18136122822761536,0.075,40,resnet101
n01558993,0.1622755527496338,0.05,40,resnet101
n01560419,0.19987955689430237,0.05,40,resnet101
n01580077,0.1881471872329712,0.025,40,resnet101
n01582220,0.32016709446907043,0.25,40,resnet101
n01592084,0.22997745871543884,0.025,40,resnet101
n01601694,0.28236931562423706,0.225,40,resnet101
n01608432,0.32034215331077576,0.175,40,resnet101
n01614925,0.2835889458656311,0.175,40,resnet101
n01616318,0.3175467550754547,0.4,40,resnet101
n01622779,0.301875501871109,0.125,40,resnet101
n01629819,0.18044085800647736,0.0,40,resnet101
n01630670,0.2778546214103699,0.275,40,resnet101
n01631663,0.21859006583690643,0.025,40,resnet101
n01632458,0.26129311323165894,0.275,40,resnet101
n01632777,0.3005022406578064,0.225,40,resnet101
n01641577,0.24982309341430664,0.125,40,resnet101
n01644373,0.2571091651916504,0.175,40,resnet101
n01644900,0.35680466890335083,0.4,40,resnet101
n01664065,0.29726043343544006,0.025,40,resnet101
n01665541,0.3416315019130707,0.375,40,resnet101
n01667114,0.32438334822654724,0.2,40,resnet101
n01667778,0.35136038064956665,0.35,40,resnet101
n01669191,0.2938278019428253,0.275,40,resnet101
n01675722,0.33270350098609924,0.3,40,resnet101
n01677366,0.24534253776073456,0.125,40,resnet101
n01682714,0.29207977652549744,0.3,40,resnet101
n01685808,0.19576585292816162,0.025,40,resnet101
n01687978,0.26862722635269165,0.4,40,resnet101
n01688243,0.3763774335384369,0.25,40,resnet101
n01689811,0.4033288061618805,0.5,40,resnet101
n01692333,0.34257474541664124,0.275,40,resnet101
n01693334,0.2838558554649353,0.175,40,resnet101
n01694178,0.26486334204673767,0.05,40,resnet101
n01695060,0.3318309485912323,0.15,40,resnet101
n01697457,0.4172786772251129,0.425,40,resnet101
n01698640,0.4311014711856842,0.425,40,resnet101
n01704323,0.3676508963108063,0.2,40,resnet101
n01728572,0.33691030740737915,0.375,40,resnet101
n01728920,0.32393231987953186,0.3,40,resnet101
n01729322,0.39510515332221985,0.525,40,resnet101
n01729977,0.30982547998428345,0.475,40,resnet101
n01734418,0.27573224902153015,0.1,40,resnet101
n01735189,0.28730064630508423,0.1,40,resnet101
n01737021,0.4128628373146057,0.1,40,resnet101
n01739381,0.23624184727668762,0.125,40,resnet101
n01740131,0.3570191562175751,0.425,40,resnet101
n01742172,0.3069288730621338,0.525,40,resnet101
n01744401,0.4118616580963135,0.325,40,resnet101
n01748264,0.2846965491771698,0.2,40,resnet101
n01749939,0.28003406524658203,0.125,40,resnet101
n01751748,0.2606622576713562,0.25,40,resnet101
n01753488,0.3386535048484802,0.175,40,resnet101
n01755581,0.43595653772354126,0.475,40,resnet101
n01756291,0.3024776875972748,0.6,40,resnet101
n01768244,0.41180220246315,0.325,40,resnet101
n01770081,0.4089753031730652,0.4,40,resnet101
n01770393,0.26248860359191895,0.075,40,resnet101
n01773157,0.1822151243686676,0.025,40,resnet101
n01773549,0.35011741518974304,0.375,40,resnet101
n01773797,0.268765389919281,0.575,40,resnet101
n01774384,0.24111004173755646,0.075,40,resnet101
n01774750,0.28210243582725525,0.25,40,resnet101
n01775062,0.22492703795433044,0.025,40,resnet101
n01776313,0.131011962890625,0.0,40,resnet101
n01784675,0.31584104895591736,0.3,40,resnet101
n01795545,0.2718096673488617,0.125,40,resnet101
n01796340,0.3315656781196594,0.3,40,resnet101
n01797886,0.285997211933136,0.125,40,resnet101
n01798484,0.3333379924297333,0.225,40,resnet101
n01806143,0.29735317826271057,0.1,40,resnet101
n01806567,0.20385709404945374,0.025,40,resnet101
n01807496,0.3083503842353821,0.175,40,resnet101
n01817953,0.4043913781642914,0.325,40,resnet101
n01818515,0.20782561600208282,0.075,40,resnet101
n01819313,0.30794844031333923,0.225,40,resnet101
n01820546,0.15936815738677979,0.025,40,resnet101
n01824575,0.271637499332428,0.175,40,resnet101
n01828970,0.21172437071800232,0.2,40,resnet101
n01829413,0.29659467935562134,0.1,40,resnet101
n01833805,0.2154901921749115,0.275,40,resnet101
n01843065,0.14882926642894745,0.05,40,resnet101
n01843383,0.19726701080799103,0.125,40,resnet101
n01847000,0.33065980672836304,0.175,40,resnet101
n01855032,0.12384702265262604,0.0,40,resnet101
n01855672,0.26492640376091003,0.175,40,resnet101
n01860187,0.20127388834953308,0.1,40,resnet101
n01871265,0.26253971457481384,0.175,40,resnet101
n01872401,0.22371606528759003,0.05,40,resnet101
n01873310,0.3797284662723541,0.225,40,resnet101
n01877812,0.3734360337257385,0.15,40,resnet101
n01882714,0.33806923031806946,0.375,40,resnet101
n01883070,0.38783425092697144,0.275,40,resnet101
n01910747,0.32090750336647034,0.1,40,resnet101
n01914609,0.32605046033859253,0.075,40,resnet101
n01917289,0.2526172697544098,0.075,40,resnet101
n01924916,0.20899827778339386,0.075,40,resnet101
n01930112,0.22716525197029114,0.125,40,resnet101
n01943899,0.3874661922454834,0.325,40,resnet101
n01944390,0.33353644609451294,0.15,40,resnet101
n01945685,0.3968442380428314,0.35,40,resnet101
n01950731,0.4099770486354828,0.475,40,resnet101
n01955084,0.30917489528656006,0.175,40,resnet101
n01968897,0.25640958547592163,0.125,40,resnet101
n01978287,0.3020073473453522,0.175,40,resnet101
n01978455,0.37362560629844666,0.375,40,resnet101
n01980166,0.3228425085544586,0.225,40,resnet101
n01981276,0.2554446756839752,0.1,40,resnet101
n01983481,0.2514325678348541,0.25,40,resnet101
n01984695,0.35831576585769653,0.35,40,resnet101
n01985128,0.36373287439346313,0.325,40,resnet101
n01986214,0.3456755578517914,0.175,40,resnet101
n01990800,0.2691868245601654,0.1,40,resnet101
n02002556,0.2287386953830719,0.025,40,resnet101
n02002724,0.25794100761413574,0.075,40,resnet101
n02006656,0.17941613495349884,0.05,40,resnet101
n02007558,0.28654274344444275,0.05,40,resnet101
n02009229,0.26302942633628845,0.175,40,resnet101
n02009912,0.25284337997436523,0.025,40,resnet101
n02011460,0.24143576622009277,0.05,40,resnet101
n02012849,0.32011836767196655,0.325,40,resnet101
n02013706,0.1847369223833084,0.0,40,resnet101
n02017213,0.14877834916114807,0.0,40,resnet101
n02018207,0.2719605565071106,0.15,40,resnet101
n02018795,0.237025648355484,0.1,40,resnet101
n02025239,0.2345331609249115,0.025,40,resnet101
n02027492,0.2844802439212799,0.1,40,resnet101
n02028035,0.23800310492515564,0.05,40,resnet101
n02033041,0.19472530484199524,0.075,40,resnet101
n02037110,0.20783253014087677,0.15,40,resnet101
n02051845,0.2888150215148926,0.175,40,resnet101
n02056570,0.35036125779151917,0.25,40,resnet101
n02058221,0.28672701120376587,0.125,40,resnet101
n02066245,0.3384716212749481,0.15,40,resnet101
n02071294,0.30572083592414856,0.15,40,resnet101
n02074367,0.33127689361572266,0.2,40,resnet101
n02077923,0.3578828275203705,0.35,40,resnet101
n02085620,0.23678043484687805,0.2,40,resnet101
n02085782,0.19218134880065918,0.075,40,resnet101
n02085936,0.24348700046539307,0.075,40,resnet101
n02086079,0.24852696061134338,0.1,40,resnet101
n02086240,0.2568016052246094,0.35,40,resnet101
n02086646,0.23726876080036163,0.05,40,resnet101
n02086910,0.22442257404327393,0.125,40,resnet101
n02087046,0.22997796535491943,0.125,40,resnet101
n02087394,0.2429935187101364,0.2,40,resnet101
n02088094,0.32416832447052,0.225,40,resnet101
n02088238,0.23912076652050018,0.325,40,resnet101
n02088364,0.2974640727043152,0.25,40,resnet101
n02088466,0.25546908378601074,0.175,40,resnet101
n02088632,0.28974759578704834,0.2,40,resnet101
n02089078,0.17457056045532227,0.1,40,resnet101
n02089867,0.26459625363349915,0.425,40,resnet101
n02089973,0.2084810733795166,0.175,40,resnet101
n02090379,0.25062474608421326,0.2,40,resnet101
n02090622,0.30173343420028687,0.4,40,resnet101
n02090721,0.3028348982334137,0.325,40,resnet101
n02091032,0.2632835805416107,0.225,40,resnet101
n02091134,0.3031685948371887,0.25,40,resnet101
n02091244,0.2487189769744873,0.2,40,resnet101
n02091467,0.2618645131587982,0.075,40,resnet101
n02091635,0.22891397774219513,0.225,40,resnet101
n02091831,0.30454221367836,0.175,40,resnet101
n02092002,0.31995415687561035,0.225,40,resnet101
n02092339,0.24300594627857208,0.05,40,resnet101
n02093256,0.3126288950443268,0.225,40,resnet101
n02093428,0.2536941468715668,0.2,40,resnet101
n02093647,0.3266746997833252,0.2,40,resnet101
n02093754,0.3441644608974457,0.225,40,resnet101
n02093859,0.3087916672229767,0.45,40,resnet101
n02093991,0.21018996834754944,0.15,40,resnet101
n02094114,0.2598089277744293,0.175,40,resnet101
n02094258,0.2650342285633087,0.425,40,resnet101
n02094433,0.24161095917224884,0.125,40,resnet101
n02095314,0.28904515504837036,0.2,40,resnet101
n02095570,0.29214662313461304,0.125,40,resnet101
n02095889,0.1909048855304718,0.15,40,resnet101
n02096051,0.2597723603248596,0.2,40,resnet101
n02096177,0.28924545645713806,0.275,40,resnet101
n02096294,0.282243549823761,0.325,40,resnet101
n02096437,0.27330905199050903,0.275,40,resnet101
n02096585,0.22854585945606232,0.125,40,resnet101
n02097047,0.22986726462841034,0.275,40,resnet101
n02097130,0.28696027398109436,0.275,40,resnet101
n02097209,0.2304624617099762,0.15,40,resnet101
n02097298,0.2863847613334656,0.45,40,resnet101
n02097474,0.2762090265750885,0.225,40,resnet101
n02097658,0.3163083493709564,0.5,40,resnet101
n02098105,0.319595605134964,0.175,40,resnet101
n02098286,0.3502998948097229,0.225,40,resnet101
n02098413,0.2565940320491791,0.175,40,resnet101
n02099267,0.2953438460826874,0.15,40,resnet101
n02099429,0.33166199922561646,0.35,40,resnet101
n02099601,0.24271126091480255,0.15,40,resnet101
n02099712,0.2649250328540802,0.25,40,resnet101
n02099849,0.3917420506477356,0.2,40,resnet101
n02100236,0.2950040400028229,0.375,40,resnet101
n02100583,0.2648216485977173,0.3,40,resnet101
n02100735,0.25864070653915405,0.2,40,resnet101
n02100877,0.29479867219924927,0.35,40,resnet101
n02101006,0.3198185861110687,0.525,40,resnet101
n02101388,0.2445085048675537,0.175,40,resnet101
n02101556,0.22719693183898926,0.125,40,resnet101
n02102040,0.23817595839500427,0.1,40,resnet101
n02102177,0.22027091681957245,0.05,40,resnet101
n02102318,0.2541082501411438,0.1,40,resnet101
n02102480,0.2834421992301941,0.15,40,resnet101
n02102973,0.30152127146720886,0.275,40,resnet101
n02104029,0.2404293566942215,0.075,40,resnet101
n02104365,0.33539438247680664,0.2,40,resnet101
n02105056,0.27899354696273804,0.325,40,resnet101
n02105162,0.23844757676124573,0.075,40,resnet101
n02105251,0.24716106057167053,0.2,40,resnet101
n02105412,0.25486674904823303,0.375,40,resnet101
n02105505,0.24772334098815918,0.15,40,resnet101
n02105641,0.2302885800600052,0.175,40,resnet101
n02105855,0.19469194114208221,0.375,40,resnet101
n02106030,0.18642230331897736,0.1,40,resnet101
n02106166,0.26352784037590027,0.05,40,resnet101
n02106382,0.26348185539245605,0.125,40,resnet101
n02106550,0.20824582874774933,0.075,40,resnet101
n02106662,0.16398102045059204,0.15,40,resnet101
n02107142,0.20970933139324188,0.175,40,resnet101
n02107312,0.23732130229473114,0.25,40,resnet101
n02107574,0.25805240869522095,0.175,40,resnet101
n02107683,0.26893824338912964,0.275,40,resnet101
n02107908,0.24032112956047058,0.5,40,resnet101
n02108000,0.1760719120502472,0.2,40,resnet101
n02108089,0.2550927698612213,0.325,40,resnet101
n02108422,0.24313588440418243,0.375,40,resnet101
n02108551,0.26600322127342224,0.25,40,resnet101
n02108915,0.250291645526886,0.1,40,resnet101
n02109047,0.2886706292629242,0.45,40,resnet101
n02109525,0.22507920861244202,0.15,40,resnet101
n02109961,0.18625366687774658,0.275,40,resnet101
n02110063,0.2368330955505371,0.125,40,resnet101
n02110185,0.26675111055374146,0.175,40,resnet101
n02110341,0.24486255645751953,0.1,40,resnet101
n02110627,0.29651761054992676,0.15,40,resnet101
n02110806,0.27111321687698364,0.175,40,resnet101
n02110958,0.33780592679977417,0.275,40,resnet101
n02111129,0.2864481806755066,0.2,40,resnet101
n02111277,0.260579377412796,0.275,40,resnet101
n02111500,0.32180118560791016,0.375,40,resnet101
n02111889,0.2785074710845947,0.15,40,resnet101
n02112018,0.20652158558368683,0.1,40,resnet101
n02112137,0.21204061806201935,0.025,40,resnet101
n02112350,0.18637137115001678,0.125,40,resnet101
n02112706,0.26367801427841187,0.25,40,resnet101
n02113023,0.3049141466617584,0.175,40,resnet101
n02113186,0.23632469773292542,0.225,40,resnet101
n02113624,0.3391665518283844,0.3,40,resnet101
n02113712,0.26618823409080505,0.5,40,resnet101
n02113799,0.3060893416404724,0.2,40,resnet101
n02113978,0.28672561049461365,0.2,40,resnet101
n02114367,0.22938990592956543,0.25,40,resnet101
n02114548,0.2971760630607605,0.275,40,resnet101
n02114712,0.22231249511241913,0.475,40,resnet101
n02114855,0.22781690955162048,0.025,40,resnet101
n02115641,0.2683665156364441,0.1,40,resnet101
n02115913,0.2688677906990051,0.175,40,resnet101
n02116738,0.20586451888084412,0.025,40,resnet101
n02117135,0.271024227142334,0.125,40,resnet101
n02119022,0.22917982935905457,0.075,40,resnet101
n02119789,0.31492629647254944,0.525,40,resnet101
n02120079,0.26484641432762146,0.175,40,resnet101
n02120505,0.20691294968128204,0.025,40,resnet101
n02123045,0.21240702271461487,0.125,40,resnet101
n02123159,0.30460113286972046,0.525,40,resnet101
